docname,from,to,pre,keyword,post,pattern
doc_105,256,256,v<c3><a6>re en fallitterkl<c3><a6>ring for regjeringens politikk Tiltakene til,omstilling,fungerer ikke En annen sak gjelder ogs<c3><a5> salg,omstilling*
doc_106,209,209,og forskning i EU er ogs<c3><a5> viktig for,omstillingen,i norsk <c3><b8>konomi Dette vil ogs<c3><a5> Senterpartiet sette,omstilling*
doc_108,345,345,fiskeri havbruk og forsvarsindustrien Det er en n<c3><b8>dvendig,omstilling,men den tar tid I september var finansministeren,omstilling*
doc_108,469,469,av oppskriften for <c3><a5> lykkes med den n<c3><b8>dvendige,omstillingen,landet g<c3><a5>r igjennom og det er grep som,omstilling*
doc_109,27,27,trenger arbeidsplasser som bidrar til verdiskaping og langsiktig,omstilling,Samtidig har vi en tydelig m<c3><a5>lsetting om at,omstilling*
doc_109,377,377,hardt arbeid som vil bidra til den langsiktige,omstillingen,og verdiskapingen vi trenger for <c3><a5> bygge dette,omstilling*
doc_111,133,133,Beredskapen styrkes N<c3><a6>ringslivet f<c3><a5>r rammevilk<c3><a5>r til <c3><a5> takle,omstillingen,som oljeprissjokket har forsert Ikke bare bommer Arbeiderpartiet,omstilling*
doc_111,410,410,i pengedusjen og lot oss ta ansvaret for,omstillingen,Det ansvaret tar vi Vi trygger Norge Vi,omstilling*
doc_117,36,36,har klart <c3><a5> handtere flyktningkrisa stigande arbeidsl<c3><b8>yse og,omstilling,som f<c3><a5>r fart p<c3><a5> <c3><b8>konomien Det har vore,omstilling*
doc_119,52,52,h<c3><b8>rer er voldsomme angrep mot regjeringens politikk for,omstilling,og sysselsetting men jeg h<c3><b8>rer om sv<c3><a6>rt f<c3><a5>,omstilling*
doc_120,118,118,tok over hausten og det er ordet <c2><ab>,omstilling,<c2><bb> Det var <c3><b2>g eit hovudpunkt under <c3><a5>rets,omstilling*
doc_120,369,369,raskere <c3><a5> avvikle virksomheter enn <c3><a5> bygge nytt,Omstillinger,tar tid <c2><bb> Og vidare sa han <c2><ab>,omstilling*
doc_120,378,378,tar tid <c2><bb> Og vidare sa han <c2><ab>,Omstillingene,m<c3><a5> ha sitt utspring i n<c3><a6>ringslivet Den <c3><b8>konomiske,omstilling*
doc_122,212,212,det er flest av i alle land vi,omstillingsvande,arbeidsfolk I talen sin la statsministeren for dagen,omstilling*
doc_122,412,412,vi veit at <c3><a5> bruka statlege pengar til,omstilling,i ei fornybar og klimavennleg retning er betre,omstilling*
doc_123,19,19,sommeren at kutt i formuesskatten er viktig for,omstillingsevnen,og for <c3><a5> skape vekst i unge sm<c3><a5>,omstilling*
doc_127,21,21,vi hadde en oljeavhengig <c3><b8>konomi Vi presenterte et,omstillingsbehov,Vi snakket om at vi burde <c3><b8>ke konkurransekrafta,omstilling*
doc_127,79,79,oljeavhengig <c3><b8>konomi eller at vi snakket om et,omstillingsbehov,i norsk <c3><b8>konomi eller at vi sa at,omstilling*
doc_128,52,52,de arbeidsledige n<c3><a6>rmest er et n<c3><b8>dvendig utslag av,omstillingen,i Norge og forklare at mrd kr til,omstilling*
doc_129,301,301,inn i arbeidslivet og har arbeid til alle,Omstilling,driver man med alltid men m<c3><a5>let har v<c3><a6>rt,omstilling*
doc_130,133,133,Solberg-regjeringa har opplevd eit oljeprisfall og at den,omstillinga,har skjedd hurtigare Det har dei <c3><b2>g handtert,omstilling*
doc_131,285,285,heldigvis slik at det er folk som skaper,omstilling,i dette landet <e2><80><93> og har gjort det,omstilling*
doc_139,207,207,det er ogs<c3><a5> et sterkt p<c3><a5>gangsmot og optimisme,Omstillingen,handler derfor ogs<c3><a5> om <c3><a5> tenke nytt og,omstilling*
doc_139,537,537,til <c3><a5> st<c3><b8>tte opp under arbeid aktivitet og,omstilling,Jeg er glad for at bedringen vi har,omstilling*
doc_139,1039,1039,En fortsatt kraftfull innsats for arbeid aktivitet og,omstilling,er viktig for <c3><a5> unng<c3><a5> at ledigheten biter,omstilling*
doc_139,1326,1326,for <c3><b8>konomien som f<c3><b8>r Norge m<c3><a5> derfor gjennom,omstilling,Vi har v<c3><a6>rt gjennom omstillinger f<c3><b8>r og vi,omstilling*
doc_139,1331,1331,m<c3><a5> derfor gjennom omstilling Vi har v<c3><a6>rt gjennom,omstillinger,f<c3><b8>r og vi vet at endringer alltid er,omstilling*
doc_139,1424,1424,<c3><a5> finansiere velferd i fremtiden Heltene i denne,omstillingen,ja det er ikke oss politikere Det er,omstilling*
doc_139,2446,2446,gir ny teknologi nye n<c3><a6>ringer og nye arbeidsplasser,Omstillingen,av norsk <c3><b8>konomi og det gr<c3><b8>nne skiftet g<c3><a5>r,omstilling*
doc_139,2664,2664,og verdensledende kunnskapsmilj<c3><b8>er Et godt eksempel p<c3><a5> denne,omstillingen,ser vi med utviklingen av Hydros pilotanlegg p<c3><a5>,omstilling*
doc_139,2731,2731,transportomr<c3><a5>det Sammen med regjeringens satsing p<c3><a5> forskning for,omstilling,og fornyelse i n<c3><a6>ringslivet legger regjeringen med dette,omstilling*
doc_139,2751,2751,for at norske kunnskapsmilj<c3><b8>er kan bidra til gr<c3><b8>nn,omstilling,Regjeringen har st<c3><a5>tt for en betydelig satsing p<c3><a5>,omstilling*
doc_139,5987,5987,dag og tar Norge trygt igjennom den langsiktige,omstillingen,,omstilling*
doc_141,214,214,med Men vi er ikke i m<c3><a5>l Den,omstillingen,norsk <c3><b8>konomi n<c3><a5> er midt inne i kommer,omstilling*
doc_142,29,29,helt riktig problemet er at det ikke skjer,Omstilling,betyr ikke <c3><b8>kende ledighet omstilling betyr at man,omstilling*
doc_142,34,34,det ikke skjer Omstilling betyr ikke <c3><b8>kende ledighet,omstilling,betyr at man faktisk finner seg jobb i,omstilling*
doc_142,59,59,har inneb<c3><a6>rer nye arbeidsoppgaver Vi har drevet med,omstilling,i alle de <c3><a5>r N<c3><a5> g<c3><a5>r omstillingen for,omstilling*
doc_142,66,66,med omstilling i alle de <c3><a5>r N<c3><a5> g<c3><a5>r,omstillingen,for sakte det er problemet Regjeringen prioriterer tiltak,omstilling*
doc_143,128,128,<c3><a5> fortsette en politikk som kan bidra til,omstilling,og l<c3><b8>se utfordringene i arbeidsmarkedet for det er,omstilling*
doc_144,43,43,fortsetter <c3><a5> ha fokus p<c3><a5> arbeid aktivitet og,omstilling,N<c3><a5> ser vi at det er vekst i,omstilling*
doc_146,257,257,trenger b<c3><a5>de kortsiktige og langsiktige tiltak i den,omstillingen,som vi er inne i Vi ser fram,omstilling*
doc_153,208,208,er <c3><a5> kaste bort en kjempemulighet for reell,omstilling,for reell nyskaping for b<c3><a6>rekraftige jobber i Norge,omstilling*
doc_154,308,308,Derfor er regjeringen s<c3><a5> tydelig p<c3><a5> at den,omstillingen,vi n<c3><a5> skal gjennom m<c3><a5> v<c3><a6>re gr<c3><b8>nn Man,omstilling*
doc_156,46,46,legger til rette for arbeid og aktivitet og,omstilling,i norsk <c3><b8>konomi n<c3><a5>r vi trenger det som,omstilling*
doc_156,171,171,om at vi kommer oss gjennom denne vanskelige,omstillingen,for norsk <c3><b8>konomi og det er jeg godt,omstilling*
