docname,from,to,pre,keyword,post,pattern
doc_561,471,471,under utbygging i Norge mellom og TWh ny,fornybar,energi som et resultat av vedtak gjort i,fornybar*
doc_561,530,530,nettopp <c3><a5> muliggj<c3><b8>re <c3><a5> ta i bruk ny,fornybar,energi til flere form<c3><a5>l ikke minst i transportsektoren,fornybar*
doc_563,28,28,er blant de viktigste medspillerne i overgangen til,fornybarsamfunnet,V<c3><a5>re forfedre i dette hus s<c3><a5> betydningen av,fornybar*
doc_563,67,67,Norge i dag er en av verdens fremste,fornybarnasjoner,Vertskommuner til vannkraften har gjennomg<c3><a5>ende stilt seg positive,fornybar*
doc_563,390,390,<c3><a5> v<c3><a6>re medspillere til <c3><a5> bli motspillere i,fornybarsatsingen,Jeg vil s<c3><a5> sterkt jeg kan oppfordre partiene,fornybar*
doc_564,13,13,g<c3><a5>r var jeg p<c3><a5> <c3><a5>pningen av Norges f<c3><b8>rste,fornybarinkubator,Watts Up som Tr<c3><b8>nderEnergi og NTNU Accel st<c3><a5>r,fornybar*
doc_565,117,117,innf<c3><b8>rt gr<c3><b8>nne sertifikater Vi har en overproduksjon av,fornybar,kraft i dette landet noe vi alle sammen,fornybar*
doc_565,257,257,er eiere av kraftselskap N<c3><a5>r vi vet at,fornybarbransjen,sliter litt med sine konkurransevilk<c3><a5>r er kanskje ikke,fornybar*
doc_565,323,323,de ogs<c3><a5> skal delta i Skatteregimet knyttet til,fornybarn<c3><a6>ringen,har ligget fast Kapitaliseringsrenten har ogs<c3><a5> ligget fast,fornybar*
doc_565,451,451,fornuftig <c3><a5> se p<c3><a5> skatt og skattesystemet rundt,fornybar,energi og det er jeg sikker p<c3><a5> at,fornybar*
doc_567,174,174,teknologiutvikling og i <c3><a5> erstatte fossil energi med,fornybar,energi ikke minst innen transport Et godt budsjett,fornybar*
doc_572,464,464,nettopp slik at utviklingen av batterier hvordan de,fornybare,delene har blitt billigere og klimaavtalen til sammen,fornybar*
doc_577,262,262,s<c3><a5>nn at vi bare sl<c3><a5>r p<c3><a5> utbygging av,fornybar,energi <e2><80><93> som vi trenger mer av i,fornybar*
doc_577,295,295,de r<c3><b8>d-gr<c3><b8>nne Vi bygger ut dobbelt s<c3><a5> mye,fornybar,energi i dag som snittet de siste <c3><a5>r,fornybar*
doc_594,61,61,inn i en fremtid <e2><80><93> hvor det er,fornybar,energi som skal v<c3><a6>re det som leverer kraft,fornybar*
