docname,from,to,pre,keyword,post,pattern
doc_3936,497,497,for <c3><a5> f<c3><a5> innfaset de elbilene f<c3><a5> til,karbonfangst,og lagring satse p<c3><a5> sirkul<c3><a6>r <c3><b8>konomi f<c3><a5> til,karbonfangst*
doc_3940,533,533,fortsatt er vennlige men ganske uforpliktende formuleringer om,karbonfangst,og lagring n<c3><a5>r det gjelder b<c3><a5>de om man,karbonfangst*
doc_3940,565,565,bransjen ikke minst i oljebransjen Ikke bare er,karbonfangst,og lagring viktig for klimaet som s<c3><a5>dant <e2><80><93>,karbonfangst*
doc_3940,606,606,av v<c3><a5>r viktigste bransje for lykkes man med,karbonfangst,og lagring vil man ha en mye lengre,karbonfangst*
doc_3951,545,545,allerede n<c3><a5> ha v<c3><a6>rt en prinsipiell avklaring omkring,karbonfangst,for prosjektene i Norcem i Brevik og Klemetsrud,karbonfangst*
doc_3960,429,429,det settes fart Vi m<c3><a5> f<c3><a5> fart p<c3><a5>,karbonfangst,og lagring og vi m<c3><a5> tydeliggj<c3><b8>re at vi,karbonfangst*
doc_4043,570,570,investeringsbeslutninger for de prosjektene som er startet rundt,karbonfangst,og lagring og ogs<c3><a5> det <c3><a5> f<c3><a5> i,karbonfangst*
doc_4056,167,167,viktige sakene som denne komiteen h<c3><a5>ndterer Vi har,karbonfangst,og lagring som er en viktig sak og,karbonfangst*
doc_4056,227,227,finansieringsmodellene vi trenger <c3><a5> f<c3><a5> p<c3><a5> plass for,karbonfangst,og lagring har Stortinget f<c3><a5>tt s<c3><a5> vi vet,karbonfangst*
doc_4058,196,196,bruke fortsatt Blant annet er det viktig p<c3><a5>,karbonfangst,og lagring for n<c3><a5> er det en betydelig,karbonfangst*
doc_4058,224,224,<c3><a5> samarbeide i Norden om <c3><a5> f<c3><a5> til,karbonfangst,og lagring i et stort industrielt sprang Det,karbonfangst*
doc_4072,240,240,ivareta de ressursene vi har Vi m<c3><a5> utvikle,karbonfangst,og lagring Og s<c3><a5> m<c3><a5> vi ikke glemme,karbonfangst*
doc_4249,72,72,klimatiltak ser statsr<c3><a5>den p<c3><a5> som mer effektive enn,karbonfangst,og lagring <c2><bb>,karbonfangst*
doc_4251,22,22,om <c3><a5> begrense temperatur<c3><b8>kningen til to grader uten,karbonfangst,og lagring N<c3><a5>r regjeringen fremdeles n<c3><b8>ler med <c3><a5>,karbonfangst*
doc_4251,34,34,regjeringen fremdeles n<c3><b8>ler med <c3><a5> f<c3><a5> p<c3><a5> plass,karbonfangst,og lagring <e2><80><93> er det fordi man anser,karbonfangst*
doc_4253,28,28,europeisk industri ved <c3><a5> lagre CO i Nordsj<c3><b8>en,Karbonfangst,og lagring CCS er det n<c3><a6>rmeste vi kommer,karbonfangst*
doc_4255,5,5,Ruth Grung A <c2><ab>,Karbonfangst,og lagring gj<c3><b8>r norsk industri til en del,karbonfangst*
doc_4255,34,34,leverer lagring i henhold til EUs veikart for,karbonfangst,og lagring vil det inneb<c3><a6>re arbeidsplasser bare knyttet,karbonfangst*
doc_4257,6,6,Ingvild Kjerkol A <c2><ab> Gjennom,karbonfangst,og lagring kan Norge sikre utslippsfri energi til,karbonfangst*
doc_4259,27,27,fram ei utreiing om verdikjeden og finansieringsmodellar for,karbonfangst,og lagring Utan ei slik avklaring er det,karbonfangst*
doc_4280,20,20,m<c3><a5> ha en rask og omfattende utbygging av,karbonfangst,og lagring for <c3><a5> ha mulighet til <c3><a5>,karbonfangst*
doc_4280,114,114,andre tiltak som han mener er bedre enn,karbonfangst,og lagring Jeg fikk bare en sammenfatning om,karbonfangst*
doc_4280,152,152,<c3><a5> f<c3><a5> realisert den satsingen som g<c3><a5>r p<c3><a5>,karbonfangst,og lagring som er utrolig viktig for norsk,karbonfangst*
doc_4282,64,64,investeringsbeslutning klar for det prosjektet som g<c3><a5>r p<c3><a5>,karbonfangst,og lagring Vil man kunne klare det innen,karbonfangst*
doc_4285,31,31,blitt verdens st<c3><b8>rste og mest fleksible testanlegg for,karbonfangst,I tillegg er det gjennom mange <c3><a5>rs drift,karbonfangst*
doc_4289,62,62,at for dei selskapa som jobbar konkret med,karbonfangst,vil ein lang venteperiode utan finansiering fr<c3><a5> forprosjekta,karbonfangst*
doc_4291,34,34,bransjen Mange av de foreg<c3><a5>ende sp<c3><b8>rrerne var innom,karbonfangst,og lagring og det enorme potensialet for n<c3><a6>ringsutvikling,karbonfangst*
doc_4335,192,192,at det ikke minst inneb<c3><a6>rer en storsatsing p<c3><a5>,karbonfangst,og lagring,karbonfangst*
doc_4368,150,150,er i startfasen p<c3><a5> et stort prosjekt for,karbonfangst,og lagring som ogs<c3><a5> kan bli et viktig,karbonfangst*
doc_4371,53,53,mye skog hogstmoden etter hvert Her er det,karbonfangst,og gr<c3><b8>nne arbeidsplasser Usikkerhet er som gift for,karbonfangst*
doc_4425,99,99,sentrum<e2><80><93>h<c3><b8>yre-regjeringen Jeg kom nettopp fra en debatt om,karbonfangst,og lagring CCS Vel i naturen finnes det,karbonfangst*
doc_4437,417,417,reduserer CO2-innholdet Det er det eneste systemet for,karbonfangst,og lagring som fungerer i dag <e2><80><93> og,karbonfangst*
